datetime,open,high,low,close
4/14/2026,1.17593,1.17956,1.17558,1.17891
4/13/2026,1.1688,1.17654,1.16652,1.17595
4/12/2026,1.17254,1.17312,1.16594,1.1688
4/11/2026,1.17258,1.17287,1.17161,1.17257
4/10/2026,1.16989,1.17393,1.1678,1.17259
4/9/2026,1.16625,1.17231,1.16511,1.16993
4/8/2026,1.15976,1.17208,1.15948,1.16627
4/7/2026,1.1543,1.16044,1.15261,1.15976
4/6/2026,1.15199,1.15702,1.15066,1.15432
4/5/2026,1.15201,1.15313,1.144,1.15201
4/4/2026,1.15145,1.15256,1.15133,1.15204
4/3/2026,1.15347,1.15482,1.15141,1.15147
4/2/2026,1.15849,1.15995,1.15093,1.15349
4/1/2026,1.15591,1.1626,1.15522,1.15851
3/31/2026,1.1459,1.15593,1.14496,1.15593
3/30/2026,1.15005,1.1521,1.14451,1.14592
3/29/2026,1.15391,1.15428,1.14874,1.15007
3/28/2026,1.15178,1.15542,1.15079,1.15393
3/27/2026,1.15225,1.15491,1.1502,1.1518
3/26/2026,1.15624,1.15727,1.15225,1.15227
3/25/2026,1.15854,1.163,1.15553,1.15625
3/24/2026,1.16146,1.16177,1.15595,1.15855
3/23/2026,1.15452,1.16393,1.14832,1.16148
3/22/2026,1.15867,1.15951,1.15237,1.15448
3/21/2026,1.15579,1.1617,1.15578,1.15868
3/20/2026,1.158,1.15975,1.15257,1.15578
3/19/2026,1.14695,1.16164,1.14437,1.15802
3/18/2026,1.1535,1.1554,1.14693,1.14696
3/17/2026,1.15074,1.15475,1.1468,1.15348
3/16/2026,1.14234,1.15237,1.14146,1.15071
3/15/2026,1.14551,1.14707,1.13515,1.14237
3/14/2026,1.14223,1.14722,1.14113,1.1455
3/13/2026,1.15157,1.15292,1.14206,1.14224
3/12/2026,1.15734,1.15754,1.15113,1.15159
3/11/2026,1.16145,1.16426,1.15637,1.15735
3/10/2026,1.16111,1.16684,1.16079,1.16146
3/9/2026,1.15678,1.16302,1.15085,1.16109
3/8/2026,1.16191,1.16214,1.15514,1.15694
3/7/2026,1.16031,1.1624,1.15969,1.1619
3/6/2026,1.15722,1.16213,1.1547,1.16032
3/5/2026,1.16403,1.16469,1.1561,1.1572
3/4/2026,1.16141,1.16542,1.15767,1.16402
3/3/2026,1.1712,1.1713,1.15316,1.16142
3/2/2026,1.1785,1.1797,1.16731,1.1712
3/1/2026,1.18164,1.18177,1.17502,1.17839
2/28/2026,1.18194,1.18262,1.1805,1.18163
2/27/2026,1.17976,1.18263,1.17899,1.18192
2/26/2026,1.18073,1.18288,1.1774,1.17976
2/25/2026,1.17794,1.18147,1.17712,1.18073
2/24/2026,1.17914,1.17963,1.17671,1.17794
2/23/2026,1.17866,1.18375,1.17752,1.17914
2/22/2026,1.17835,1.17954,1.17752,1.17865
2/21/2026,1.17811,1.17925,1.17784,1.17834
2/20/2026,1.17636,1.18064,1.17448,1.1781
2/19/2026,1.1787,1.18079,1.17428,1.17636
2/18/2026,1.18483,1.1858,1.17836,1.1787
2/17/2026,1.18541,1.18558,1.18058,1.18483
2/16/2026,1.1871,1.18794,1.18465,1.18542
2/15/2026,1.18494,1.18969,1.18405,1.18711
2/14/2026,1.18672,1.18798,1.18451,1.18495
2/13/2026,1.18701,1.18862,1.18485,1.18672
2/12/2026,1.18799,1.18897,1.18535,1.18702
2/11/2026,1.19015,1.19268,1.18387,1.18801
