Date,Price,Open,High,Low
4/14/2026,4.271,4.28,4.289,4.266
4/13/2026,4.297,4.359,4.363,4.289
4/12/2026,4.359,4.361,4.366,4.35
4/10/2026,4.317,4.285,4.323,4.275
4/9/2026,4.293,4.291,4.321,4.26
4/8/2026,4.291,4.261,4.305,4.23
4/7/2026,4.343,4.335,4.38,4.297
4/6/2026,4.335,4.362,4.368,4.317
4/3/2026,4.346,4.329,4.362,4.291
4/2/2026,4.313,4.323,4.386,4.287
4/1/2026,4.321,4.309,4.334,4.259
3/31/2026,4.311,4.35,4.36,4.285
3/30/2026,4.342,4.416,4.424,4.324
3/27/2026,4.44,4.408,4.484,4.402
3/26/2026,4.416,4.342,4.428,4.338
3/25/2026,4.328,4.35,4.36,4.306
3/24/2026,4.392,4.338,4.427,4.334
3/23/2026,4.336,4.407,4.445,4.305
3/20/2026,4.392,4.281,4.393,4.267
3/19/2026,4.283,4.273,4.328,4.238
3/18/2026,4.257,4.206,4.271,4.169
3/17/2026,4.202,4.228,4.249,4.189
3/16/2026,4.22,4.261,4.273,4.218
3/13/2026,4.285,4.261,4.29,4.234
3/12/2026,4.273,4.247,4.277,4.21
3/11/2026,4.206,4.16,4.234,4.138
3/10/2026,4.136,4.109,4.16,4.086
3/9/2026,4.134,4.193,4.216,4.094
3/6/2026,4.132,4.136,4.187,4.105
3/5/2026,4.146,4.094,4.15,4.092
3/4/2026,4.082,4.063,4.1,4.044
3/3/2026,4.057,4.033,4.117,4.031
3/2/2026,4.052,3.932,4.067,3.926
2/27/2026,3.962,4.002,4.006,3.943
2/26/2026,4.017,4.044,4.056,4.006
2/25/2026,4.048,4.035,4.06,4.031
2/24/2026,4.033,4.035,4.048,4.023
2/23/2026,4.027,4.075,4.083,4.017
2/20/2026,4.085,4.075,4.106,4.058
2/19/2026,4.075,4.083,4.108,4.065
2/18/2026,4.081,4.058,4.088,4.048
2/17/2026,4.054,4.044,4.062,4.018
2/16/2026,4.042,4.05,4.059,4.022
2/15/2026,4.054,4.047,4.063,4.05
2/13/2026,4.056,4.098,4.127,4.046
2/12/2026,4.104,4.185,4.189,4.098
2/11/2026,4.172,4.137,4.206,4.125
2/10/2026,4.145,4.202,4.204,4.135
2/9/2026,4.198,4.224,4.25,4.196
2/6/2026,4.206,4.168,4.224,4.156
2/5/2026,4.21,4.28,4.282,4.182
2/4/2026,4.278,4.267,4.29,4.261
2/3/2026,4.273,4.275,4.299,4.264
2/2/2026,4.277,4.243,4.285,4.212
1/30/2026,4.241,4.243,4.279,4.234
1/29/2026,4.227,4.235,4.273,4.223
1/28/2026,4.251,4.239,4.273,4.227
1/27/2026,4.223,4.217,4.249,4.207
1/26/2026,4.211,4.219,4.229,4.2
1/23/2026,4.239,4.247,4.263,4.227
1/22/2026,4.251,4.241,4.277,4.233
1/21/2026,4.253,4.287,4.301,4.245
1/20/2026,4.295,4.259,4.313,4.249
1/19/2026,4.263,4.238,4.313,4.22
1/18/2026,4.224,4.215,4.227,4.208
1/16/2026,4.231,4.171,4.233,4.163
1/15/2026,4.16,4.138,4.175,4.132
1/14/2026,4.14,4.181,4.183,4.13
1/13/2026,4.171,4.175,4.201,4.156
1/12/2026,4.187,4.185,4.207,4.169
1/9/2026,4.171,4.169,4.211,4.159
1/8/2026,4.183,4.153,4.187,4.132
1/7/2026,4.138,4.171,4.171,4.124
1/6/2026,4.179,4.169,4.197,4.161
1/5/2026,4.163,4.191,4.195,4.148
1/2/2026,4.189,4.195,4.197,4.149
1/1/2026,4.175,4.177,4.182,4.173
12/31/2025,4.153,4.13,4.171,4.104
12/30/2025,4.128,4.108,4.143,4.104
12/29/2025,4.116,4.13,4.141,4.104
12/26/2025,4.134,4.137,4.153,4.11
12/25/2025,4.133,4.133,4.137,4.131
12/24/2025,4.134,4.159,4.173,4.132
12/23/2025,4.169,4.169,4.202,4.139
12/22/2025,4.171,4.153,4.174,4.153
12/19/2025,4.151,4.126,4.157,4.124
12/18/2025,4.116,4.147,4.147,4.108
12/17/2025,4.151,4.151,4.182,4.143
12/16/2025,4.149,4.17,4.198,4.141
12/15/2025,4.182,4.182,4.188,4.149
12/12/2025,4.196,4.147,4.2,4.147
12/11/2025,4.141,4.137,4.161,4.1
12/10/2025,4.164,4.186,4.209,4.137
12/9/2025,4.186,4.166,4.192,4.141
12/8/2025,4.172,4.143,4.192,4.129
12/5/2025,4.139,4.1,4.145,4.088
12/4/2025,4.108,4.073,4.114,4.073
12/3/2025,4.058,4.088,4.09,4.05
12/2/2025,4.088,4.088,4.116,4.081
12/1/2025,4.096,4.034,4.098,4.027
11/28/2025,4.019,4.008,4.036,3.961
11/27/2025,4.005,3.998,4.015,3.991
11/26/2025,3.998,4.004,4.044,3.99
11/25/2025,4.002,4.031,4.046,3.988
11/24/2025,4.036,4.059,4.069,4.027
11/21/2025,4.063,4.092,4.102,4.036
11/20/2025,4.104,4.146,4.168,4.084
11/19/2025,4.131,4.117,4.141,4.098
11/18/2025,4.121,4.146,4.148,4.084
11/17/2025,4.133,4.154,4.158,4.115
11/14/2025,4.148,4.123,4.152,4.065
11/13/2025,4.111,4.081,4.125,4.071
11/12/2025,4.067,4.069,4.095,4.056
11/11/2025,4.069,4.118,4.123,4.065
11/10/2025,4.11,4.13,4.147,4.096
11/7/2025,4.093,4.089,4.112,4.066
