date,btc_open,btc_high,btc_low,btc_close,uk_open,uk_high,uk_low,uk_close,uk_volume,gold_open,gold_high,gold_low,gold_close,japan_open,japan_high,japan_low,japan_close,japan_volume,noc_open,noc_high,noc_low,noc_close,noc_volume,qqq_open,qqq_high,qqq_low,qqq_close,qqq_volume,rtx_open,rtx_high,rtx_low,rtx_close,rtx_volume,eur_open,eur_high,eur_low,eur_close,spy_open,spy_high,spy_low,spy_close,spy_volume,usbond_close,usbond_open,usbond_high,usbond_low,oil_close,oil_open,oil_high,oil_low,oil_volume,oil_change_percent,pltr_open,pltr_high,pltr_low,pltr_close,pltr_volume,irr_open,irr_high,irr_low,irr_close,lmt_open,lmt_high,lmt_low,lmt_close,lmt_volume,label
2021-04-15,63075.19531,63821.67188,62208.96484,63314.01172,32.5,32.6,32.46,32.6,3904400,1737.099976,1769.91003,1734.10498,1763.20837,69.87,69.96,69.78,69.88,6310800,341.85001,345.63,340.59,344.59,850500,339.47,342.01001,336.22,341.60999,36342800,78.16,78.28,76.98,77.97,5106500,1.19824,1.19931,1.19579,1.19861,413.73999,416.16,413.69,415.87,60229800,1.574,1.641,1.646,1.528,63.51,62.97,63.62,62.61,243640.0,0.46,24.01,24.059999,22.69,23.15,58849300,2.38095e-05,2.38095e-05,2.38095e-05,2.38095e-05,388.67001,392.0,387.70001,390.63,1289400,Flat
2021-04-16,63258.50391,63594.72266,60222.53125,61572.78906,32.72,32.86,32.63,32.81,3433500,1763.84497,1784.074951,1759.78503,1776.3064,69.93,69.96,69.79,69.96,3184400,346.57999,347.82001,343.67001,346.42999,1867300,342.14999,342.23001,340.079987,342.01001,40860100,78.59,78.59,77.050003,78.22,7629700,1.19707,1.19947,1.19509,1.19717,417.25,417.91,415.73001,417.26001,82037300,1.59,1.565,1.599,1.552,63.19,63.35,63.94,62.88,265800.0,-0.5,22.86,23.26,22.3,22.47,46627700,2.38095e-05,2.38095e-05,2.38095e-05,2.38095e-05,392.82001,394.34,389.79999,391.81,1499500,Flat
2021-04-19,56191.58594,57520.05469,54368.59375,55724.26562,33.02,33.099998,32.94,33.029999,3286600,1779.5,1790.53503,1765.97998,1769.31006,69.76,69.81,69.050003,69.29,11056300,347.0,347.25,342.79999,344.64001,817500,340.39001,341.57999,336.89999,338.88,34533100,78.12,78.73,77.74,78.59,6265600,1.19683,1.20482,1.19434,1.19695,416.26001,416.73999,413.79001,415.20999,78498500,1.61,1.578,1.617,1.552,63.43,63.01,63.69,62.67,279370.0,0.38,22.15,22.33,21.53,21.94,45753900,2.38095e-05,2.38095e-05,2.38095e-05,2.38095e-05,392.0,392.39001,386.62,391.73001,1317600,Down
2021-04-20,55681.79297,57062.14844,53448.04688,56473.03125,32.66,32.66,32.27,32.4,5668900,1770.30005,1780.76501,1763.18005,1777.2533,68.050003,68.15,67.55,67.79,9035400,344.79999,346.60999,343.16,345.14001,800300,338.20001,339.51999,334.38,336.41,38081800,77.8,77.91,76.07,77.089996,8692700,1.20438,1.20817,1.20288,1.20453,413.91,415.089996,410.59,412.17001,81851800,1.566,1.598,1.633,1.557,62.67,63.53,64.38,61.49,476050.0,-1.2,21.96,22.55,21.24,21.78,47123100,2.38095e-05,2.38095e-05,2.38095e-05,2.38095e-05,388.0,391.5,384.62,387.32999,1370100,Up
2021-04-21,56471.12891,56757.97266,53695.46875,53906.08984,32.25,32.66,32.24,32.65,2538000,1778.6449,1797.97998,1775.95496,1793.46167,67.6,68.41,67.57,68.37,7032100,345.12,346.54999,343.54001,345.51999,748700,335.089996,339.48001,333.97,339.29001,36598100,76.81,78.94,76.4,78.87,5186900,1.20325,1.20453,1.2,1.20324,411.51001,416.29001,411.35999,416.070007,66793000,1.559,1.564,1.586,1.554,61.27,62.33,62.47,60.79,123250.0,-2.23,21.65,22.64,21.43,22.63,42641400,2.38095e-05,2.38095e-05,2.38095e-05,2.38095e-05,387.51999,390.89001,384.95001,387.23999,1358500,Flat
2021-04-22,53857.10547,55410.23047,50583.8125,51762.27344,32.42,32.49,32.2,32.26,3071700,1794.15002,1798.28503,1776.82996,1783.93994,68.93,68.98,68.36,68.49,7019600,344.13,345.19,341.78,343.42999,728000,338.89001,339.89999,334.01001,335.20001,45936100,78.99,79.91,78.55,78.74,6706800,1.20382,1.207,1.20039,1.20378,415.89001,416.78,411.13,412.26999,97582800,1.542,1.554,1.587,1.531,61.34,61.05,61.79,60.55,99270.0,0.11,22.94,23.51,22.51,22.86,51346400,2.38095e-05,2.38095e-05,2.38095e-05,2.38095e-05,386.76999,386.76999,378.39999,380.089996,1670500,Up
2021-04-23,51739.80859,52120.79297,47714.66406,51093.65234,32.3,32.57,32.28,32.46,2595400,1784.32996,1796.060059,1770.054565,1777.18005,68.73,69.31,68.69,69.099998,8746300,342.95999,343.79999,340.10999,342.040009,1012900,335.85001,340.76999,335.85001,339.42001,36381900,78.81,80.76,78.81,80.54,7139200,1.20179,1.2078,1.20139,1.20148,412.87,418.25,412.79001,416.73999,73209200,1.559,1.547,1.582,1.531,62.02,61.56,62.3,61.14,104730.0,1.11,22.89,23.55,22.74,23.41,32052800,2.38095e-05,2.38095e-05,2.38095e-05,2.38095e-05,378.59,378.59,373.32001,377.29001,1298000,Up
2021-04-26,49077.79297,54288.00391,48852.79688,54021.75391,32.62,32.7,32.6,32.64,5486000,1776.34497,1783.69104,1768.70496,1780.18994,68.93,69.040001,68.69,68.84,6010900,342.049988,342.98999,336.56,337.79999,892500,339.67001,341.92001,338.89999,341.63,30812000,81.0,82.07,80.8,81.0,12145600,1.20896,1.21183,1.20637,1.20899,417.44,418.22,416.81,417.60999,52182400,1.568,1.563,1.599,1.556,61.8,62.03,62.18,60.56,103530.0,-0.35,23.69,24.26,23.46,24.11,33667600,2.38095e-05,2.38095e-05,2.38095e-05,2.38095e-05,374.28,375.31,370.72,371.98001,1518100,Up
2021-04-27,54030.30469,55416.96484,53319.1875,55033.11719,32.57,32.66,32.53,32.63,1245000,1780.42004,1785.90002,1773.51501,1776.68994,67.99,68.14,67.88,68.0,3852800,337.39001,340.87,336.029999,339.87,738200,341.92999,342.14999,339.17001,340.14999,33187200,82.76,83.69,80.88,82.81,11082400,1.20792,1.20919,1.20579,1.20817,417.92999,418.14001,416.29999,417.51999,51303100,1.625,1.57,1.63,1.57,62.8,61.8,63.15,61.8,111620.0,1.62,24.17,24.26,23.57,23.88,27678300,2.38095e-05,2.38095e-05,2.38095e-05,2.38095e-05,371.5,374.23999,370.14001,373.22,1564900,Flat
2021-04-28,55036.63672,56227.20703,53887.91797,54824.70312,32.62,32.82,32.61,32.8,1976100,1776.79504,1782.84998,1762.56494,1781.32373,67.95,68.19,67.84,67.98,4592300,340.26999,340.26999,336.57001,338.37,763600,339.81,340.85001,338.32999,339.0,33615700,81.48,83.12,81.48,83.080002,7164200,1.20885,1.21021,1.20576,1.20903,417.81,419.01001,416.89999,417.39999,51238900,1.611,1.62,1.661,1.608,63.75,62.92,64.37,62.54,127270.0,1.51,23.67,24.17,23.42,23.85,22068100,2.38095e-05,2.38095e-05,2.38095e-05,2.38095e-05,373.45999,373.88,370.95001,372.94,1110400,Flat
