datetime,open,high,low,close
4/14/2026,4740.96568,4796.596,4740.70858,4779.95763
4/13/2026,4750.43695,4752.99783,4643.55787,4740.74803
4/12/2026,4750.45842,4756.1901,4749.83663,4750.50252
4/11/2026,4749.54972,4750.78067,4749.02268,4750.52873
4/10/2026,4766.49515,4795.33901,4732.48466,4749.58009
4/9/2026,4719.63631,4800.71915,4696.30581,4766.56409
4/8/2026,4706.29881,4855.11363,4700.18732,4719.47769
4/7/2026,4649.66027,4719.86105,4604.80231,4706.39311
4/6/2026,4676.41981,4705.73244,4598.01008,4649.76527
4/5/2026,4676.42856,4676.63225,4676.34757,4676.50455
4/4/2026,4676.42625,4676.82173,4676.01177,4676.50865
4/3/2026,4675.27835,4677.0164,4665.06785,4676.48581
4/2/2026,4767.94778,4798.53894,4555.06888,4675.33535
4/1/2026,4683.78257,4792.52135,4657.92829,4768.03194
3/31/2026,4513.5833,4684.74132,4486.81893,4683.73771
3/30/2026,4507.70172,4579.18712,4420.32741,4513.40774
3/29/2026,4507.7127,4507.90906,4507.63074,4507.67826
3/28/2026,4514.75649,4514.81293,4492.13517,4507.6873
3/27/2026,4362.52539,4550.97345,4352.84304,4514.84071
3/26/2026,4531.38161,4546.06827,4358.34529,4362.63551
3/25/2026,4399.59355,4602.63009,4396.84803,4531.47513
3/24/2026,4399.37578,4448.78875,4310.39454,4399.4287
3/23/2026,4497.4395,4532.22948,4104.81533,4400.00688
3/22/2026,4497.44028,4497.6526,4497.37925,4497.51799
3/21/2026,4500.48478,4513.49018,4490.7061,4497.5218
3/20/2026,4637.58944,4736.02113,4475.36646,4500.6531
3/19/2026,4842.10656,4868.11576,4514.89843,4637.62973
3/18/2026,4998.63708,5016.82098,4837.58291,4841.92773
3/17/2026,5012.46151,5042.92294,4978.14194,4998.9783
3/16/2026,5019.68973,5036.81037,4966.61001,5012.64443
3/15/2026,5019.68973,5032.13817,5018.9006,5019.79532
3/14/2026,5022.68373,5028.6784,5010.37858,5019.79237
3/13/2026,5083.57604,5127.98504,5003.47363,5020.31894
3/12/2026,5183.22388,5191.16983,5081.35272,5083.42129
3/11/2026,5198.01685,5223.2619,5158.04347,5183.31222
3/10/2026,5141.93524,5237.80436,5122.45155,5197.99865
3/9/2026,5171.05327,5204.69053,5014.43471,5142.17754
3/8/2026,5171.07466,5171.29987,5167.45393,5171.09086
3/7/2026,5161.28762,5173.49951,5151.19721,5171.10452
3/6/2026,5065.45447,5174.13733,5054.73982,5161.43884
3/5/2026,5136.26707,5194.57816,5054.59315,5065.44602
3/4/2026,5113.69812,5203.82419,5083.87185,5136.55908
3/3/2026,5330.72524,5378.90889,4986.15049,5113.42789
3/2/2026,5277.88876,5417.76449,5267.50196,5330.94854
3/1/2026,5277.89433,5278.12724,5277.68405,5277.8835
2/28/2026,5250.99881,5280.2302,5249.91264,5277.88359
2/27/2026,5187.77974,5256.86705,5166.01681,5251.01854
2/26/2026,5205.15431,5205.65282,5127.32727,5187.84755
2/25/2026,5154.62929,5218.1188,5123.07465,5205.26524
2/24/2026,5215.69065,5250.6274,5100.79752,5154.62888
2/23/2026,5098.50048,5219.46186,5098.189,5215.65797
2/22/2026,5098.51348,5098.73552,5098.43388,5098.59632
2/21/2026,5079.37865,5105.22068,5076.80371,5098.61379
2/20/2026,4987.7054,5079.5811,4980.29089,5079.40187
2/19/2026,4980.59213,5022.36806,4960.9654,4987.51618
2/18/2026,4881.2785,5008.54216,4856.71848,4980.67537
2/17/2026,4992.35719,4999.41567,4853.25576,4881.25215
2/16/2026,5043.13127,5044.13251,4968.76904,4992.462
2/15/2026,5043.09069,5043.34381,5043.00674,5043.2085
2/14/2026,5029.60512,5044.24291,5023.95409,5043.16482
2/13/2026,4944.9452,5045.31285,4892.56375,5029.89519
2/12/2026,5080.93854,5101.36263,4891.22479,4945.1794
2/11/2026,5028.88591,5115.80964,5021.08147,5080.6557
2/10/2026,5074.60676,5084.15262,5002.86032,5028.8494
2/9/2026,5010.62241,5093.76098,4971.92857,5074.62168
2/8/2026,4959.01867,5028.17538,4958.9515,5011.35623
2/7/2026,4957.64609,4964.08055,4938.91135,4959.11017
2/6/2026,4830.27158,4972.30477,4654.91557,4957.75097
2/5/2026,4941.44978,5024.78529,4798.77728,4831.82164
2/4/2026,4926.18518,5090.97076,4863.23494,4941.50845
2/3/2026,4685.64115,4993.13125,4647.23171,4926.47711
2/2/2026,4865.35405,4879.10052,4410.8453,4687.13788
2/1/2026,4865.35613,4865.59398,4865.28403,4865.45954
