datetime,open,high,low,close
4/14/2026,7.6127E-07,7.6324E-07,7.5732E-07,7.6003E-07
4/13/2026,7.6061E-07,7.6286E-07,7.5919E-07,7.6129E-07
4/12/2026,7.6056E-07,7.6143E-07,7.5903E-07,7.6059E-07
4/11/2026,7.6063E-07,7.6122E-07,7.6028E-07,7.6056E-07
4/10/2026,7.6015E-07,7.6138E-07,7.5979E-07,7.6067E-07
4/9/2026,7.6023E-07,7.6103E-07,7.5861E-07,7.6016E-07
4/8/2026,7.6223E-07,7.6265E-07,7.5788E-07,7.6017E-07
4/7/2026,7.6071E-07,7.6279E-07,7.5966E-07,7.6221E-07
4/6/2026,7.5968E-07,7.6157E-07,7.5895E-07,7.6071E-07
4/5/2026,7.5977E-07,7.602E-07,7.592E-07,7.5969E-07
4/4/2026,7.5958E-07,7.6002E-07,7.5908E-07,7.5978E-07
4/3/2026,7.5967E-07,7.6123E-07,7.5865E-07,7.596E-07
4/2/2026,7.5768E-07,7.6156E-07,7.5452E-07,7.5968E-07
4/1/2026,7.6038E-07,7.6363E-07,7.5528E-07,7.5764E-07
3/31/2026,7.6021E-07,7.6152E-07,7.5798E-07,7.6048E-07
3/30/2026,7.5976E-07,7.6064E-07,7.5812E-07,7.6012E-07
3/29/2026,7.601E-07,7.6039E-07,7.5958E-07,7.5978E-07
3/28/2026,7.604E-07,7.6156E-07,7.5981E-07,7.6012E-07
3/27/2026,7.6076E-07,7.617E-07,7.5995E-07,7.6042E-07
3/26/2026,7.6252E-07,7.6297E-07,7.6054E-07,7.6083E-07
3/25/2026,7.6212E-07,7.6506E-07,7.5964E-07,7.6249E-07
3/24/2026,7.5892E-07,7.6332E-07,7.5781E-07,7.6218E-07
3/23/2026,7.6088E-07,7.6318E-07,7.5806E-07,7.5892E-07
3/22/2026,7.6164E-07,7.6167E-07,7.6073E-07,7.609E-07
3/21/2026,7.6061E-07,7.6257E-07,7.6053E-07,7.6166E-07
3/20/2026,7.614E-07,7.6263E-07,7.5884E-07,7.6063E-07
3/19/2026,7.5877E-07,7.6279E-07,7.5717E-07,7.6143E-07
3/18/2026,7.6047E-07,7.6133E-07,7.5879E-07,7.5879E-07
3/17/2026,7.5817E-07,7.6105E-07,7.5718E-07,7.6049E-07
3/16/2026,7.5728E-07,7.5921E-07,7.5568E-07,7.5818E-07
3/15/2026,7.5779E-07,7.5797E-07,7.5622E-07,7.5729E-07
3/14/2026,7.5698E-07,7.5849E-07,7.5546E-07,7.578E-07
3/13/2026,7.5845E-07,7.6017E-07,7.5602E-07,7.5699E-07
3/12/2026,7.5548E-07,7.605E-07,7.5409E-07,7.5846E-07
3/11/2026,7.5653E-07,7.5783E-07,7.544E-07,7.5546E-07
3/10/2026,7.5695E-07,7.5847E-07,7.5589E-07,7.5651E-07
3/9/2026,7.6137E-07,7.6174E-07,7.5486E-07,7.5699E-07
3/8/2026,7.5861E-07,7.6215E-07,7.586E-07,7.6138E-07
3/7/2026,7.5751E-07,7.5944E-07,7.5614E-07,7.5861E-07
3/6/2026,7.5608E-07,7.6124E-07,7.5528E-07,7.5757E-07
3/5/2026,7.5832E-07,7.6161E-07,7.5527E-07,7.5604E-07
3/4/2026,7.632E-07,7.6448E-07,7.5755E-07,7.5831E-07
3/3/2026,7.6082E-07,7.6419E-07,7.5786E-07,7.6325E-07
3/2/2026,7.6215E-07,7.6454E-07,7.598E-07,7.6084E-07
3/1/2026,7.6089E-07,7.6339E-07,7.6085E-07,7.6215E-07
2/28/2026,7.6016E-07,7.6108E-07,7.5798E-07,7.6089E-07
2/27/2026,7.6146E-07,7.638E-07,7.5714E-07,7.6027E-07
2/26/2026,7.6456E-07,7.6654E-07,7.606E-07,7.6155E-07
2/25/2026,7.736E-07,7.7563E-07,7.6222E-07,7.6462E-07
2/24/2026,7.7581E-07,7.7802E-07,7.7152E-07,7.7365E-07
2/23/2026,7.7893E-07,7.8022E-07,7.7173E-07,7.7597E-07
2/22/2026,7.7881E-07,7.7908E-07,7.7859E-07,7.7895E-07
2/21/2026,7.7865E-07,7.7927E-07,7.7828E-07,7.788E-07
2/20/2026,7.7819E-07,7.7945E-07,7.7696E-07,7.7862E-07
2/19/2026,7.7663E-07,7.7929E-07,7.7456E-07,7.7816E-07
2/18/2026,7.7988E-07,7.813E-07,7.7471E-07,7.7653E-07
2/17/2026,7.8019E-07,7.8101E-07,7.791E-07,7.7982E-07
2/16/2026,7.8152E-07,7.8231E-07,7.8001E-07,7.8014E-07
2/15/2026,7.8198E-07,7.8241E-07,7.8117E-07,7.8152E-07
2/14/2026,7.8136E-07,7.8249E-07,7.8024E-07,7.8197E-07
2/13/2026,7.8307E-07,7.8797E-07,7.804E-07,7.8136E-07
2/12/2026,0.000000788,8.0402E-07,7.8206E-07,7.831E-07
2/11/2026,8.0085E-07,8.1025E-07,7.8329E-07,7.8802E-07
2/10/2026,8.2573E-07,8.3132E-07,7.9752E-07,8.0092E-07
2/9/2026,8.28289E-07,8.28289E-07,8.23422E-07,8.2572E-07
2/8/2026,8.3113E-07,8.3311E-07,8.3112E-07,8.3216E-07
2/7/2026,8.2763E-07,8.3268E-07,8.2542E-07,8.3113E-07
2/6/2026,8.4595E-07,8.4751E-07,8.2711E-07,8.2762E-07
2/5/2026,8.6498E-07,8.7304E-07,8.4051E-07,8.4595E-07
2/4/2026,8.6622E-07,8.7767E-07,8.6372E-07,8.6499E-07
2/3/2026,8.6121E-07,8.7467E-07,8.4891E-07,8.6622E-07
2/2/2026,8.7934E-07,8.9776E-07,8.6078E-07,8.6138E-07
2/1/2026,8.8925E-07,9.0196E-07,8.7867E-07,8.7934E-07
1/31/2026,8.931E-07,9.023E-07,8.7794E-07,8.8926E-07
1/30/2026,9.1828E-07,9.1957E-07,8.8763E-07,8.9337E-07
1/29/2026,9.1888E-07,9.2144E-07,9.1729E-07,9.1833E-07
1/28/2026,9.2214E-07,9.2705E-07,9.1761E-07,9.1887E-07
1/27/2026,9.2816E-07,9.3112E-07,9.2104E-07,9.2211E-07
1/26/2026,9.2823E-07,9.3243E-07,9.2714E-07,9.2826E-07
1/25/2026,9.2917E-07,9.3081E-07,9.2807E-07,9.2824E-07
1/24/2026,9.3126E-07,9.3267E-07,9.2904E-07,9.2918E-07
1/23/2026,9.2976E-07,9.3234E-07,9.2826E-07,9.3125E-07
1/22/2026,9.3312E-07,9.3696E-07,9.2984E-07,9.2987E-07
1/21/2026,9.3453E-07,9.363E-07,9.319E-07,9.332E-07
1/20/2026,9.3325E-07,9.4038E-07,9.3071E-07,9.3447E-07
1/19/2026,9.3773E-07,9.3966E-07,9.3107E-07,9.3331E-07
1/18/2026,9.3897E-07,9.3937E-07,9.3724E-07,9.3775E-07
1/17/2026,9.375E-07,9.3982E-07,9.3678E-07,9.3899E-07
