datetime,open,high,low,close,volume
4/13/2026,86.78,88.395,86.6,88.35,9468592
4/10/2026,88.18,88.38,87.79,88.13,4469600
4/9/2026,87.29,88.77,86.99,88.22,7395900
4/8/2026,89.82,89.99,88.83,89.41,14590400
4/7/2026,84.88,85.7,83.82,85.51,17552100
4/6/2026,85.050003,85.75,85.050003,85.57,3819800
4/2/2026,83.98,85.84,83.74,85.29,6422100
4/1/2026,86.66,87.36,86.27,86.48,14766000
3/31/2026,82.45,84.49,82.17,84.44,12647200
3/30/2026,82.65,82.75,81.35,81.52,11806500
3/27/2026,82.19,82.53,81.19,81.43,14066600
3/26/2026,83.64,84.28,82.66,82.71,5883000
3/25/2026,84.97,85.24,84.35,84.75,7553500
3/24/2026,82.9,83.87,82.63,83.28,7210300
3/23/2026,83.57,84.6,82.73,83.55,17234500
3/20/2026,83.87,83.91,80.85,81.2,19746900
3/19/2026,82.26,84.48,82.14,84.080002,8664700
3/18/2026,84.7,85.14,84.050003,84.15,8642600
3/17/2026,85.57,85.64,84.86,85.080002,5197800
3/16/2026,84.58,85.32,84.52,85.07,6784700
3/13/2026,84.53,84.79,83.21,83.36,10036500
3/12/2026,84.82,84.92,83.76,84.19,13356700
3/11/2026,85.3,86.18,84.99,85.73,8068300
3/10/2026,86.5,88.14,85.86,86.46,12730100
3/9/2026,83.78,85.87,82.92,85.64,20330900
3/6/2026,84.38,85.2,84.12,84.77,11412100
3/5/2026,86.45,86.84,84.91,85.89,18638500
3/4/2026,87.55,88.72,87.080002,88.59,14258200
3/3/2026,84.78,87.14,83.85,86.83,29746600
3/2/2026,89.41,90.41,89.17,90.2,17218100
2/27/2026,92.67,92.81,92.25,92.37,7723500
2/26/2026,92.6,92.75,91.95,92.48,6763900
2/25/2026,92.019997,92.57,91.89,92.44,6061200
2/24/2026,90.52,91.44,90.37,91.23,8912900
2/23/2026,91.64,92.089996,91.18,91.39,7862000
2/20/2026,90.4,91.57,90.33,91.47,10905700
2/19/2026,90.83,91.22,90.67,91.2,10448700
2/18/2026,91.55,92.019997,91.27,91.38,9336300
2/17/2026,91.41,92.07,90.87,91.87,21815200
2/13/2026,93.66,93.94,92.91,93.85,11219200
2/12/2026,94,94.28,93.14,93.37,10269700
2/11/2026,93.91,94.2,93.22,93.97,12280200
2/10/2026,93.2,93.57,92.97,93.099998,21601700
2/9/2026,90.3,91.48,90.2,91.29,9877600
2/6/2026,88.77,89.47,88.58,89.4,7409000
2/5/2026,86.33,86.76,86.019997,86.099998,9245200
2/4/2026,87.67,88.24,87.19,87.49,11696700
2/3/2026,86.32,86.74,85.92,86.68,12779800
2/2/2026,85.33,86.010002,85.080002,85.89,7060300
1/30/2026,85.97,86.17,85.4,85.72,7254100
1/29/2026,86.13,86.31,84.84,86.089996,13444000
1/28/2026,85.059998,85.27,84.79,85.21,9157700
1/27/2026,85.47,85.97,85.44,85.84,14767500
1/26/2026,85.12,85.26,84.62,84.63,12120800
1/23/2026,84.07,84.82,83.94,84.56,13051000
1/22/2026,84.85,85.059998,84.67,84.86,5129800
1/21/2026,84.21,85,84.050003,84.78,12139300
1/20/2026,83.83,84.32,83.6,83.72,9402500
1/16/2026,85.54,85.61,85.26,85.48,4181200
1/15/2026,85.9,86,85.39,85.42,5601600
1/14/2026,85.080002,85.34,84.91,85.040001,7046000
1/13/2026,84.7,84.79,84.29,84.45,5177300
1/12/2026,84.95,85.3,84.93,85.29,6171000
1/9/2026,84.14,84.92,84.07,84.61,7885300
1/8/2026,82.57,82.91,82.52,82.86,5791200
1/7/2026,83.12,83.14,82.78,82.92,6011500
1/6/2026,83.14,83.27,82.9,83.07,9209100
1/5/2026,82.36,83.18,82.36,83.13,6465700
1/2/2026,81.51,81.57,80.82,81.33,7874000
12/31/2025,80.73,81,80.54,80.74,4445000
12/30/2025,81.24,81.27,80.97,80.98,3748800
12/29/2025,80.97,81.13,80.78,81.089996,4629100
12/26/2025,80.95,80.99,80.72,80.97,2340200
12/25/2025,80.86,81,80.86,81,1767593
12/24/2025,80.86,81.13,80.76,81,1767600
12/23/2025,81.35,81.45,81.059998,81.14,6126600
12/22/2025,80.25,80.555,80.155,80.46,5963107
12/19/2025,80.46,80.8,80.4,80.58,5596000
12/18/2025,80.29,80.45,79.82,79.97,6214800
12/17/2025,80.43,80.57,79.71,79.74,6592800
12/16/2025,81.11,81.27,80.65,80.85,6205600
12/15/2025,85.28,85.31,84.7,84.87,4439300
12/12/2025,84.4,84.45,83.69,84,6361700
12/11/2025,83.94,84.38,83.88,84.22,4377900
12/10/2025,83.24,84.059998,83.11,83.91,5887600
12/9/2025,83.58,83.72,83.3,83.31,3387200
12/8/2025,83.49,83.55,83.059998,83.19,3589600
12/5/2025,83.68,83.8,83.44,83.7,4186800
12/4/2025,84.21,84.28,83.48,83.62,4692400
12/3/2025,82.099998,82.65,82.029999,82.61,5501500
12/2/2025,82.73,82.73,82.26,82.47,3848400
12/1/2025,82.49,82.87,82.45,82.53,5020900
11/28/2025,82.84,83.040001,82.75,83.010002,2711800
11/26/2025,82.73,83.37,82.55,83.26,3711400
11/25/2025,81.32,81.97,81.010002,81.92,5197000
11/24/2025,81.080002,81.87,80.96,81.74,3799400
11/21/2025,80.81,81.44,80.3,81.19,8907800
11/20/2025,81.14,81.37,79.48,79.49,11263100
11/19/2025,80.68,81.15,80.39,80.68,6065700
11/18/2025,80.7,81.099998,80.29,80.78,6922400
11/17/2025,83.019997,83.35,82.14,82.47,6967700
11/14/2025,83.64,84.21,83.4,83.98,6153900
11/13/2025,83.98,84.029999,82.96,83.010002,7215600
11/12/2025,84.23,84.54,84.13,84.34,6539000
11/11/2025,83.5,83.91,83.37,83.75,6582700
11/10/2025,83.32,83.75,83.07,83.68,5038400
11/7/2025,82.84,83.31,82.3,83.29,5604500
11/6/2025,83.31,83.38,82.66,82.96,5396000
11/5/2025,82.49,82.99,82.35,82.8,5594800
11/4/2025,83,83.35,82.78,82.83,6613800
11/3/2025,83.58,83.71,83.25,83.64,5288200
10/31/2025,83.71,83.84,83.19,83.45,9755500
10/30/2025,83.14,83.56,83.029999,83.21,6073400
10/29/2025,83.52,83.69,82.7,83.23,8550000
10/28/2025,83.56,84.07,83.55,83.93,4523200
10/27/2025,83.61,83.61,83.37,83.53,2985700
