datetime,open,high,low,close,volume
4/13/2026,617.87,622.51001,615.15997,619.69,677133
4/10/2026,619.28003,621.70001,607.15997,613.71997,874000
4/9/2026,627.98999,636.88,623.090027,623.87,911100
4/8/2026,612.27002,630.66998,605.5,628.5,1283400
4/7/2026,635.59998,636.79999,625.82001,627.70001,732100
4/6/2026,623.10999,637.91998,621.37,637.90002,1128800
4/2/2026,616.70001,626.51001,616.01001,622.78998,1116800
4/1/2026,608.82001,619.099976,606.10999,617.64001,1118100
3/31/2026,604.5,610,598.70001,604.39001,1327800
3/30/2026,621.030029,623.32001,593.88,598.57001,1849300
3/27/2026,625.70001,631.45001,613.65997,615.84003,1061100
3/26/2026,619.79999,632.91998,619.79999,627.33002,1262400
3/25/2026,612.5,626.92999,612.41998,624.20001,1190300
3/24/2026,612.95001,615.29999,605,610.16998,1078200
3/23/2026,629.070007,629.65997,610.63,616.25,1386600
3/20/2026,635.85999,638.51001,622.37,627.42999,6511300
3/19/2026,639.059998,640,623.75,637.51001,1540800
3/18/2026,641.10999,645.84998,636.45001,642.28003,1026200
3/17/2026,644.96002,645,632.78998,636.33002,1388800
3/16/2026,645.22998,651.54999,639,645.20001,1181000
3/13/2026,652.66998,660,640.5,646,1071300
3/12/2026,651.95001,661,646.63,652.83002,1411200
3/11/2026,645.32001,657,644.13,649.46997,1364000
3/10/2026,657.95001,659.89001,646.20001,651.21997,1653000
3/9/2026,675.58002,676.080017,657.34998,664.15002,2369700
3/6/2026,661.65002,672.85999,656.40002,671.77002,1895100
3/5/2026,662.099976,663,647.22998,655,1720100
3/4/2026,670,671,652.53998,664.47998,1650900
3/3/2026,682,686.46997,657.56,667.82001,2142100
3/2/2026,685.5,692,664.01001,676.70001,3246500
2/27/2026,648.090027,662.46997,647.099976,658.080017,2599900
2/26/2026,646.46002,647.5,638.030029,641.63,1269200
2/25/2026,662.44,663.54999,634.039978,647.5,1664400
2/24/2026,658.28998,669.099976,652.57001,664.42999,1361500
2/23/2026,655.62,663.27002,653.69,660.62,1196100
2/20/2026,666.77002,668.25,648.40997,658.26001,1447700
2/19/2026,656.5,669.75,655.5,666.51001,1370300
2/18/2026,657.16998,660.54999,647.19,649.81,1350300
2/17/2026,653,656.21997,642,649.58002,1169600
2/13/2026,639,656.34003,639,652.58002,1490800
2/12/2026,630,644.25,630,637.42999,1745600
2/11/2026,631.22998,633.59003,621.67999,628.70001,1024600
2/10/2026,637.46997,638.28998,626.51001,629.56,1211600
2/9/2026,625.28003,638.96997,625.01001,638.28998,1589800
2/6/2026,614.59003,624.090027,611.20001,623.58002,1095800
2/5/2026,602.72998,614,595,609.17999,1684400
2/4/2026,630.82001,632.049988,596.22998,602.76001,2654800
2/3/2026,640,646.59003,618.45001,628.26001,2300700
2/2/2026,620,640.97998,615.17999,636,1967800
1/30/2026,621,641.19,615.51001,634.21997,2099600
1/29/2026,609.23999,645.66998,607.56,622.51001,3931900
1/28/2026,592.90002,599.32001,583,597.27002,1324000
1/27/2026,580,595.87,573.82001,594.95001,1710700
1/26/2026,590,590.40002,575.63,581.65997,1460500
1/23/2026,594.64001,596.22998,586.01001,590.82001,1271700
1/22/2026,585.17999,595.95001,582.5,593.90997,1493600
1/21/2026,576.059998,588.96997,576.059998,586.22998,1817700
1/20/2026,580,586.84998,573.39001,576.059998,1521900
1/16/2026,578.21002,582.92999,577.41998,582.42999,2375700
1/15/2026,568.65997,579.59998,559.72998,577.89001,1763400
1/14/2026,556.98999,578.039978,556.12,572.70001,2643100
1/13/2026,560.02002,563.29999,550.84003,558.29999,2013000
1/12/2026,548.96002,554.27002,540.31,551.23999,2970000
1/9/2026,525.88,546.070007,525.88,542.91998,2647700
1/8/2026,531.89001,542.87,513.01001,518.44,4108800
1/7/2026,525.31,532.38,496,496.87,4084900
1/6/2026,517.059998,538.72998,517.059998,522.039978,2813100
1/5/2026,503.92999,515.88,503,511.57001,1982600
1/2/2026,483.25,497.16,476.54001,497.070007,1126100
12/31/2025,489,489.67999,483.51999,483.67001,669900
12/30/2025,489.34,491.70001,487.94,488,996400
12/29/2025,483.82999,489.42999,483.29001,488.87,933400
12/26/2025,485.20001,487.059998,481.17999,483.029999,605700
12/24/2025,485,491.17999,484.45001,485.75,581600
12/23/2025,484,484.95001,481,482.54999,864000
12/22/2025,474.95999,485.019989,474.95999,483.57001,1120600
12/19/2025,466.34,475.72,464.88,474.13,2826500
12/18/2025,472.41,476.20001,469,470.14001,1363900
12/17/2025,471,476.89001,462.25,474.79001,1989200
12/16/2025,479.60999,479.79001,473.85999,477.059998,1262400
12/15/2025,478.98999,484.76999,477.23999,484.42001,1002300
12/12/2025,475.66,480.84,470.79001,480.25,1384300
12/11/2025,470.29001,479.70001,470.29001,474.88,1294000
12/10/2025,465.20999,473.079987,455.88,467.94,2313600
12/9/2025,466.28,472.81,465,466.89001,1102300
12/8/2025,453.5,465.56,451.48001,465.38,1390700
12/5/2025,447.78,452.82001,446.41,452.20001,1290500
12/4/2025,448.17999,449.53,445.42999,448.35001,1283700
12/3/2025,443.41,448.47,439.049988,446.79999,1751500
12/2/2025,440.98001,442.75,437.25,441.82001,1535600
12/1/2025,453.28,454.089996,438.5,439.19,1659200
11/28/2025,454.54001,457.85999,452.60999,457.85999,748000
11/26/2025,453.29999,457.26001,452.98001,454.16,1299800
