datetime,open,high,low,close,volume
4/13/2026,201.75,202.99001,200.1575,201.41,3426695
4/10/2026,202.82001,202.82001,197.78999,201.56,3151900
4/9/2026,203.22,205.36,202.61,203.19,2789700
4/8/2026,198.60001,203.8,198.42,203.48,4455800
4/7/2026,197.41,198.14999,195.50999,197.92,3037500
4/6/2026,196.23,198.63,195,198.41,2314900
4/2/2026,195.080002,197.44,193.63,196.21001,4113900
4/1/2026,194.47,196.64,193.55,194.72,4127200
3/31/2026,189.14,193.44,187.58,192.89999,5318500
3/30/2026,192.49001,193,185.57001,187.14999,5043800
3/27/2026,192.41,193.11,189.46001,189.71001,3864500
3/26/2026,194.31,194.31,191.38,192.85001,4871900
3/25/2026,196.050003,196.67,194.050003,195,4057300
3/24/2026,192.22,195.14,191.17999,194,5136000
3/23/2026,197.17,199.75,194.46001,194.82001,4927300
3/20/2026,201.25999,202.029999,196.49001,198.16,8463900
3/19/2026,203.33,203.38,197.020004,200.73,5329600
3/18/2026,204.31,207.3,204.029999,204.56,3512900
3/17/2026,205.81,206.67,200.71001,203.33,3990800
3/16/2026,204.71001,208.89999,204.61,206.059998,4795600
3/13/2026,204.46001,206.28999,201.89999,204.52,4806800
3/12/2026,206.17999,206.77,201.84,203.039993,6400900
3/11/2026,205.66,209.39,204.7,207.25999,4416200
3/10/2026,206.36,208.47,205.28,207,4140600
3/9/2026,211.75999,213,206.81,208.23,8626400
3/6/2026,204.0099945,209.95,203.64,209.75999,8790400
3/5/2026,208.49001,210.14999,200.10001,203.86,6935600
3/4/2026,207,209.95,204.23,208.82001,6140300
3/3/2026,213.0099945,214.5,205.57001,206.52,9661300
3/2/2026,210.64999,212.82001,208,212.16,12485300
2/27/2026,198.31,202.62,197.63,202.62,8982500
2/26/2026,196.5,198.67999,194,197.63,5762000
2/25/2026,198.46001,198.75999,192.62,195.98,6891800
2/24/2026,200,200.71001,197,198.46001,10157300
2/23/2026,203.97,204.89999,201.74001,201.92,4557300
2/20/2026,205.49001,206.36,203.020004,204.92,10300800
2/19/2026,204.17,206.73,201.53999,205.41,6128400
2/18/2026,205.50999,206.0099945,202.81,204.81,6395700
2/17/2026,200,205.64,198.85001,203.5,6057800
2/13/2026,201.14,203.7,198.53,200.059998,4939000
2/12/2026,197,201.88,197,201.14,6738600
2/11/2026,195.58,198.83,195.050003,196.50999,6784100
2/10/2026,195.029999,196.41,193.080002,195.19,5501500
2/9/2026,198.5,200,195.99001,196.19,4615200
2/6/2026,196.96001,200.85001,196.96001,198.66,4350900
2/5/2026,196.23,199.67999,194.53,195.97,5538300
2/4/2026,205.5,206.48,194.33,196.74001,11411500
2/3/2026,201.78999,204.87,200.64999,203.5,8457300
2/2/2026,199.99001,201.66,197,201.089996,6239900
1/30/2026,198.37,201.42999,197.60001,200.92999,7228400
1/29/2026,200.92999,203.24001,198.0099945,199.88,8870800
1/28/2026,201.28,205.36,198.55,199.46001,6826500
1/27/2026,199.50999,202.2,195.44,201.28,10134500
